2026-06-09 19:24:10 | INFO     | services.pdf_service | save_upload:72 | Saved upload: uploads\Diabetes.pdf
2026-06-09 19:24:10 | INFO     | services.pdf_service | extract_text:30 | Extracting text from: Diabetes.pdf
2026-06-09 19:24:12 | INFO     | services.pdf_service | extract_text:49 | Extracted 5 pages with text from 'Diabetes.pdf'
2026-06-09 19:24:12 | INFO     | services.ingestion_service | ingest_pdf:50 | Extracted 5 pages from 'Diabetes.pdf'
2026-06-09 19:24:12 | INFO     | services.ingestion_service | ingest_pdf:54 | Created 12 chunks from 'Diabetes.pdf'
2026-06-09 19:24:26 | INFO     | services.embedding_service | generate_embeddings_batch:72 | Generated embeddings for batch 1 (12/12)
2026-06-09 19:24:26 | INFO     | services.ingestion_service | ingest_pdf:59 | Generated 12 embeddings for 'Diabetes.pdf'
2026-06-09 19:24:29 | INFO     | services.pinecone_service | create_index_if_not_exists:45 | Index 'medical-rag' already exists.
2026-06-09 19:24:34 | ERROR    | services.pinecone_service | upsert_vectors:82 | Pinecone upsert failed: (400)
Reason: Bad Request
HTTP response headers: HTTPHeaderDict({'Date': 'Tue, 09 Jun 2026 13:54:33 GMT', 'Content-Type': 'application/json', 'Content-Length': '103', 'Connection': 'keep-alive', 'x-pinecone-request-latency-ms': '156', 'x-envoy-upstream-service-time': '160', 'x-pinecone-response-duration-ms': '2268', 'server': 'envoy'})
HTTP response body: {"code":3,"message":"Vector dimension 1536 does not match the dimension of the index 512","details":[]}

2026-06-09 19:24:34 | ERROR    | __main__ | process_uploads:162 | Runtime error for 'Diabetes.pdf': Failed to upsert vectors: (400)
Reason: Bad Request
HTTP response headers: HTTPHeaderDict({'Date': 'Tue, 09 Jun 2026 13:54:33 GMT', 'Content-Type': 'application/json', 'Content-Length': '103', 'Connection': 'keep-alive', 'x-pinecone-request-latency-ms': '156', 'x-envoy-upstream-service-time': '160', 'x-pinecone-response-duration-ms': '2268', 'server': 'envoy'})
HTTP response body: {"code":3,"message":"Vector dimension 1536 does not match the dimension of the index 512","details":[]}

2026-06-09 19:30:33 | INFO     | services.pdf_service | save_upload:72 | Saved upload: uploads\Diabetes.pdf
2026-06-09 19:30:33 | INFO     | services.pdf_service | extract_text:30 | Extracting text from: Diabetes.pdf
2026-06-09 19:30:35 | INFO     | services.pdf_service | extract_text:49 | Extracted 5 pages with text from 'Diabetes.pdf'
2026-06-09 19:30:35 | INFO     | services.ingestion_service | ingest_pdf:50 | Extracted 5 pages from 'Diabetes.pdf'
2026-06-09 19:30:35 | INFO     | services.ingestion_service | ingest_pdf:54 | Created 12 chunks from 'Diabetes.pdf'
2026-06-09 19:30:38 | INFO     | services.embedding_service | generate_embeddings_batch:72 | Generated embeddings for batch 1 (12/12)
2026-06-09 19:30:38 | INFO     | services.ingestion_service | ingest_pdf:59 | Generated 12 embeddings for 'Diabetes.pdf'
2026-06-09 19:30:42 | INFO     | services.pinecone_service | create_index_if_not_exists:45 | Index 'medical-rag' already exists.
2026-06-09 19:30:56 | INFO     | services.pinecone_service | upsert_vectors:86 | Upserted batch: 12/12 vectors
2026-06-09 19:30:56 | INFO     | services.ingestion_service | ingest_pdf:77 | Stored 12 vectors for 'Diabetes.pdf'
2026-06-09 19:30:56 | INFO     | __main__ | process_uploads:155 | Successfully ingested 'Diabetes.pdf'
2026-06-09 19:31:13 | INFO     | services.llm_service | answer_question:62 | Answering question: what is the symptoms for diabetes...
2026-06-09 19:31:13 | INFO     | services.retrieval_service | retrieve:32 | Retrieving context for: what is the symptoms for diabetes...
2026-06-09 19:31:18 | INFO     | services.pinecone_service | create_index_if_not_exists:45 | Index 'medical-rag' already exists.
2026-06-09 19:31:21 | INFO     | services.pinecone_service | query_vectors:131 | Retrieved 5 chunks from Pinecone
2026-06-09 19:31:21 | INFO     | services.retrieval_service | retrieve:43 | Retrieved 5 relevant chunks
2026-06-09 19:31:23 | ERROR    | services.llm_service | _generate_response:136 | LLM response generation failed: Error code: 404 - {'error': {'type': 'invalid_request_error', 'code': 'DeploymentNotFound', 'message': 'The API deployment for this resource does not exist. If you created the deployment within the last 5 minutes, please wait a moment and try again.'}}
2026-06-09 19:31:23 | ERROR    | __main__ | handle_question:294 | Question handling failed: Failed to generate answer: Error code: 404 - {'error': {'type': 'invalid_request_error', 'code': 'DeploymentNotFound', 'message': 'The API deployment for this resource does not exist. If you created the deployment within the last 5 minutes, please wait a moment and try again.'}}
2026-06-09 19:51:57 | INFO     | services.pinecone_service | create_index_if_not_exists:45 | Index 'medical-rag' already exists.
2026-06-09 19:52:19 | INFO     | services.llm_service | answer_question:62 | Answering question: what is the symptoms for diabetes...
2026-06-09 19:52:19 | INFO     | services.retrieval_service | retrieve:32 | Retrieving context for: what is the symptoms for diabetes...
2026-06-09 19:52:24 | INFO     | services.pinecone_service | create_index_if_not_exists:45 | Index 'medical-rag' already exists.
2026-06-09 19:52:26 | INFO     | services.pinecone_service | query_vectors:131 | Retrieved 5 chunks from Pinecone
2026-06-09 19:52:26 | INFO     | services.retrieval_service | retrieve:43 | Retrieved 5 relevant chunks
2026-06-09 19:52:29 | INFO     | services.llm_service | _generate_response:132 | Generated answer successfully
2026-06-09 19:52:56 | INFO     | services.llm_service | answer_question:62 | Answering question: preventions?...
2026-06-09 19:52:56 | INFO     | services.retrieval_service | retrieve:32 | Retrieving context for: preventions?...
2026-06-09 19:53:02 | INFO     | services.pinecone_service | create_index_if_not_exists:45 | Index 'medical-rag' already exists.
2026-06-09 19:53:04 | INFO     | services.pinecone_service | query_vectors:131 | Retrieved 5 chunks from Pinecone
2026-06-09 19:53:04 | INFO     | services.retrieval_service | retrieve:43 | Retrieved 5 relevant chunks
2026-06-09 19:53:07 | INFO     | services.llm_service | _generate_response:132 | Generated answer successfully
2026-06-09 19:53:22 | INFO     | services.llm_service | answer_question:62 | Answering question: what is the symptoms for cancer...
2026-06-09 19:53:22 | INFO     | services.retrieval_service | retrieve:32 | Retrieving context for: what is the symptoms for cancer...
